Target (x, y, z) -> Joint Angles (theta1, theta2, theta3, theta4, theta5)
[-0.5, -1.05, 1.59] -> [-115.46, -39.39, 47.41, -47.41, 0.00]
[-1.41, -1.98, 0.45] -> [-125.46, -17.82, 169.87, -169.87, 0.00]
[-0.92, -0.56, -0.93] -> [-148.67, -92.07, 117.54, -117.54, 0.00]
[-1.99, 0.16, 1.6] -> [175.40, -20.87, 104.81, -104.81, 0.00]
[0.55, -1.27, -0.76] -> [-66.58, -81.42, 120.80, -120.80, 0.00]
[-1.64, 0.83, 0.36] -> [153.16, -62.88, 92.63, -92.63, 0.00]
[0.8, 1.94, 0.97] -> [67.59, -37.75, 106.14, -106.14, 0.00]
[-1.79, -0.01, 0.64] -> [-179.68, -59.85, 83.05, -83.05, 0.00]
[1.87, 0.71, 1.96] -> [20.79, -5.12, 118.49, -118.49, 0.00]
[0.67, 0.98, 0.19] -> [55.64, -96.36, 55.88, -55.88, 0.00]
[-0.6, -0.06, 1.3] -> [-174.29, -58.57, 9.95, -9.95, 0.00]
[1.41, -1.58, 1.13] -> [-48.25, -32.31, 108.35, -108.35, 0.00]
[-1.78, 0.7, 0.2] -> [158.53, -60.83, 103.74, -103.74, 0.00]
[1.24, -0.33, 0.24] -> [-14.90, -90.92, 59.43, -59.43, 0.00]
[-0.12, 0.99, 1.89] -> [96.91, -23.52, 49.46, -49.46, 0.00]
[-1.61, 1.03, 0.5] -> [147.39, -57.12, 95.09, -95.09, 0.00]
[-1.23, -1.11, 1.73] -> [-137.94, -25.28, 81.88, -81.88, 0.00]
[-0.89, 0.81, 0.22] -> [137.69, -95.11, 55.68, -55.68, 0.00]
[-0.82, 0.89, 0.21] -> [132.66, -94.93, 56.41, -56.41, 0.00]
[-0.24, 1.73, 0.19] -> [97.90, -69.43, 90.90, -90.90, 0.00]
[0.45, -0.64, 0.69] -> [-54.89, -101.78, 19.67, -19.67, 0.00]
[-1.3, -1.79, 0.17] -> [-125.99, -41.91, 137.31, -137.31, 0.00]
[0.11, 0.41, 0.13] -> [74.98, -140.46, 27.07, -27.07, 0.00]
[1.66, 0.47, -0.59] -> [15.81, -65.28, 134.77, -134.77, 0.00]
[-0.95, -0.45, 1.15] -> [-154.65, -65.56, 32.63, -32.63, 0.00]
[-0.49, -0.33, 1.57] -> [-146.04, -36.79, 18.47, -18.47, 0.00]
[1.76, -0.05, 0.36] -> [-1.63, -66.61, 86.74, -86.74, 0.00]
[-0.05, 1.26, -0.6] -> [92.27, -91.53, 100.45, -100.45, 0.00]
[1.66, 0.35, 0.63] -> [11.91, -64.12, 76.37, -76.37, 0.00]
[-1.0, 1.62, 1.92] -> [121.69, -10.38, 107.65, -107.65, 0.00]
[1.8, -1.42, 1.42] -> [-38.27, -13.35, 132.53, -132.53, 0.00]
[-0.56, 1.23, -0.88] -> [114.48, -79.10, 130.37, -130.37, 0.00]
[-0.63, -1.12, 1.7] -> [-119.36, -32.63, 57.59, -57.59, 0.00]
[-0.41, -0.74, 1.42] -> [-118.99, -50.76, 25.68, -25.68, 0.00]
[1.73, -0.87, 1.76] -> [-26.70, -16.37, 104.39, -104.39, 0.00]
[1.3, -1.25, 0.03] -> [-43.88, -67.57, 101.41, -101.41, 0.00]
[-0.35, -1.6, 0.26] -> [-102.34, -73.88, 80.88, -80.88, 0.00]
[-1.2, 0.9, 1.06] -> [143.13, -57.67, 60.08, -60.08, 0.00]
[-0.47, -1.22, -0.46] -> [-111.07, -91.28, 93.76, -93.76, 0.00]
[-0.57, 1.65, -0.38] -> [109.06, -68.71, 119.23, -119.23, 0.00]
[1.7, -0.4, 1.71] -> [-13.24, -24.04, 87.68, -87.68, 0.00]
[-0.86, -1.3, 1.16] -> [-123.49, -51.90, 64.48, -64.48, 0.00]
[0.77, 1.36, -0.92] -> [60.48, -59.80, 162.10, -162.10, 0.00]
[-1.67, 0.54, 0.05] -> [162.08, -70.02, 96.81, -96.81, 0.00]
[-1.62, -0.02, 1.74] -> [-179.29, -25.62, 79.67, -79.67, 0.00]
[-0.09, 1.56, 1.28] -> [93.30, -46.90, 65.88, -65.88, 0.00]
[-1.95, 0.28, 1.35] -> [171.83, -31.30, 97.25, -97.25, 0.00]
[0.17, -0.63, -0.83] -> [-74.90, -114.20, 92.35, -92.35, 0.00]
[0.94, 1.12, 1.38] -> [49.99, -45.08, 60.71, -60.71, 0.00]
[0.58, -1.46, 0.7] -> [-68.33, -67.47, 66.69, -66.69, 0.00]
[-1.72, 1.71, 1.51] -> [135.17, 3.45, 163.15, -163.15, 0.00]
[0.59, -0.94, 1.91] -> [-57.89, -22.77, 55.76, -55.76, 0.00]
[0.36, -0.16, 0.1] -> [-23.96, -142.40, 27.92, -27.92, 0.00]
[-1.92, 0.78, 0.67] -> [157.89, -45.99, 106.12, -106.12, 0.00]
[-0.71, -0.09, -0.47] -> [-172.78, -119.47, 69.15, -69.15, 0.00]
[0.05, 0.36, -0.06] -> [82.09, -143.00, 36.15, -36.15, 0.00]
[-0.61, 0.62, -0.75] -> [134.53, -106.93, 93.29, -93.29, 0.00]
[0.53, -1.39, 0.03] -> [-69.13, -83.47, 79.28, -79.28, 0.00]
[0.29, 0.51, 1.27] -> [60.38, -61.11, 8.36, -8.36, 0.00]
[0.02, 1.41, 0.48] -> [89.19, -80.14, 60.20, -60.20, 0.00]
[-1.93, -0.47, 1.18] -> [-166.31, -36.47, 96.71, -96.71, 0.00]
[1.85, -0.35, 1.32] -> [-10.71, -35.53, 89.64, -89.64, 0.00]
[-0.1, -1.26, -0.67] -> [-94.54, -90.02, 105.73, -105.73, 0.00]
[0.05, 1.36, 1.72] -> [87.89, -30.80, 62.64, -62.64, 0.00]
[0.55, -0.12, 0.99] -> [-12.31, -89.21, 3.61, -3.61, 0.00]
[0.39, 1.71, -0.44] -> [77.15, -67.18, 124.42, -124.42, 0.00]
[0.48, 0.09, -0.56] -> [10.62, -128.05, 69.13, -69.13, 0.00]
[-0.44, 1.25, 0.46] -> [109.39, -84.43, 55.48, -55.48, 0.00]
[0.11, -1.98, 0.33] -> [-86.82, -55.86, 105.61, -105.61, 0.00]
[-1.13, -0.54, -0.98] -> [-154.46, -80.55, 134.27, -134.27, 0.00]
[-1.98, -0.48, 1.39] -> [-166.37, -27.24, 103.84, -103.84, 0.00]
[-1.22, 0.83, 0.82] -> [145.77, -67.40, 59.11, -59.11, 0.00]
[0.71, -1.07, 1.35] -> [-56.43, -50.20, 49.10, -49.10, 0.00]
[-0.61, -1.3, 0.85] -> [-115.14, -67.81, 56.32, -56.32, 0.00]
[-1.24, -1.77, 1.55] -> [-125.01, -15.84, 119.77, -119.77, 0.00]
[1.77, 0.4, -0.07] -> [12.73, -67.08, 106.89, -106.89, 0.00]
[-0.98, -0.27, 1.55] -> [-164.60, -42.44, 38.28, -38.28, 0.00]
[0.64, -0.12, 1.86] -> [-10.62, -20.31, 33.64, -33.64, 0.00]
[0.33, -1.65, 0.35] -> [-78.69, -70.43, 81.37, -81.37, 0.00]
[1.16, -1.46, 0.25] -> [-51.53, -62.89, 98.04, -98.04, 0.00]
[-0.74, 0.34, 0.87] -> [155.32, -89.73, 18.69, -18.69, 0.00]
[-0.05, 0.59, 0.11] -> [94.84, -129.84, 33.06, -33.06, 0.00]
[0.51, 1.53, -0.12] -> [71.57, -77.74, 94.07, -94.07, 0.00]
[-0.33, -1.48, -0.52] -> [-102.57, -79.63, 110.88, -110.88, 0.00]
[1.28, -0.02, 1.38] -> [-0.90, -48.78, 49.38, -49.38, 0.00]
[-0.95, -1.41, 1.63] -> [-123.97, -28.63, 82.08, -82.08, 0.00]
[-0.07, -0.91, -0.22] -> [-94.40, -112.42, 61.57, -61.57, 0.00]
[1.54, -0.71, 0.08] -> [-24.75, -72.87, 91.23, -91.23, 0.00]
[-0.75, -0.96, 0.54] -> [-128.00, -87.04, 47.29, -47.29, 0.00]
[-0.85, -1.3, -0.37] -> [-123.18, -79.64, 103.54, -103.54, 0.00]
[0.56, -1.7, 1.44] -> [-71.77, -34.00, 84.38, -84.38, 0.00]
[1.93, 1.09, -0.06] -> [29.46, -37.47, 156.18, -156.18, 0.00]
[-1.17, 1.11, -0.16] -> [136.51, -77.71, 96.03, -96.03, 0.00]
[-0.61, -1.16, 1.7] -> [-117.74, -32.36, 59.06, -59.06, 0.00]
[-1.51, 1.58, 1.85] -> [133.70, -1.45, 134.59, -134.59, 0.00]
[-0.69, -0.21, -0.33] -> [-163.07, -121.10, 60.86, -60.86, 0.00]
[0.04, -1.28, 1.76] -> [-88.21, -29.67, 59.28, -59.28, 0.00]
[-0.31, -1.84, 1.93] -> [-99.56, -11.10, 104.83, -104.83, 0.00]
[0.77, -0.17, 0.9] -> [-12.45, -88.75, 16.96, -16.96, 0.00]
[-0.74, -1.15, -0.75] -> [-122.76, -82.62, 118.74, -118.74, 0.00]
[0.8, 1.09, -0.79] -> [53.72, -82.29, 121.30, -121.30, 0.00]
[-1.73, 0.06, 1.36] -> [178.01, -38.90, 78.70, -78.70, 0.00]
[-1.74, -1.32, 1.55] -> [-142.82, -14.69, 122.35, -122.35, 0.00]
[0.25, -0.95, 1.72] -> [-75.26, -32.72, 42.07, -42.07, 0.00]
[-0.01, -0.59, 0.98] -> [-90.97, -89.35, 5.18, -5.18, 0.00]
[1.8, 1.12, 0.41] -> [31.89, -47.31, 116.49, -116.49, 0.00]
[-1.5, 1.36, 1.08] -> [137.80, -37.99, 99.49, -99.49, 0.00]
[-1.44, -1.99, 1.39] -> [-125.89, 2.52, 166.99, -166.99, 0.00]
[-0.65, -0.17, 0.08] -> [-165.34, -125.22, 37.28, -37.28, 0.00]
[1.62, 0.46, 1.59] -> [15.85, -30.74, 79.91, -79.91, 0.00]
[0.73, 0.22, 1.49] -> [16.77, -45.55, 23.44, -23.44, 0.00]
[-0.94, -1.76, 0.64] -> [-118.11, -50.43, 99.59, -99.59, 0.00]
[0.86, -0.94, 0.55] -> [-47.54, -84.27, 50.38, -50.38, 0.00]
[0.68, 1.73, -0.11] -> [68.54, -64.48, 112.72, -112.72, 0.00]
[0.89, 1.3, -0.71] -> [55.60, -71.48, 131.72, -131.72, 0.00]
[-1.57, 0.18, 0.52] -> [173.46, -71.74, 70.31, -70.31, 0.00]
[-0.24, -0.49, 1.06] -> [-116.10, -82.32, 2.80, -2.80, 0.00]
[-1.46, -0.26, 0.65] -> [-169.90, -72.49, 61.58, -61.58, 0.00]
[-1.93, 0.15, -0.13] -> [175.56, -59.73, 121.09, -121.09, 0.00]
[0.89, -0.68, 1.15] -> [-37.38, -64.01, 36.72, -36.72, 0.00]
[0.02, 0.44, 0.48] -> [87.40, -134.53, 10.41, -10.41, 0.00]
[0.2, 1.15, 0.01] -> [80.13, -99.29, 62.03, -62.03, 0.00]
[1.03, 1.85, 1.08] -> [60.89, -33.79, 108.09, -108.09, 0.00]
[1.56, -0.73, -0.49] -> [-25.08, -68.15, 125.42, -125.42, 0.00]
[-0.28, -1.97, 1.25] -> [-98.09, -34.01, 97.65, -97.65, 0.00]
[-1.5, -0.09, -0.89] -> [-176.57, -68.32, 146.39, -146.39, 0.00]
[0.05, -1.88, 0.33] -> [-88.48, -61.17, 96.87, -96.87, 0.00]
[-0.1, -0.28, -1.06] -> [-109.65, -119.54, 104.50, -104.50, 0.00]
[-1.52, 1.85, 1.1] -> [129.41, -16.13, 142.96, -142.96, 0.00]
[-0.9, -0.42, -0.81] -> [-154.98, -99.77, 102.94, -102.94, 0.00]
[-0.98, 0.99, 0.3] -> [134.71, -84.71, 63.94, -63.94, 0.00]
[-0.27, -0.23, -0.72] -> [-139.57, -129.44, 77.82, -77.82, 0.00]
[0.67, -1.01, 1.76] -> [-56.44, -30.18, 55.46, -55.46, 0.00]
[-1.81, -0.92, 1.16] -> [-153.06, -35.29, 100.41, -100.41, 0.00]
[-0.57, 1.36, 0.72] -> [112.74, -70.72, 60.06, -60.06, 0.00]
[-1.13, 0.54, 0.63] -> [154.46, -82.70, 47.53, -47.53, 0.00]
[-0.37, -1.6, 1.56] -> [-103.02, -33.03, 76.27, -76.27, 0.00]
[-0.95, 0.97, 1.66] -> [134.40, -33.76, 60.64, -60.64, 0.00]
[-1.5, 0.11, 1.09] -> [175.81, -56.35, 60.44, -60.44, 0.00]
[-0.25, 1.1, -0.75] -> [102.80, -94.91, 104.56, -104.56, 0.00]
[-0.9, -0.44, 1.12] -> [-153.95, -68.43, 29.49, -29.49, 0.00]
[0.92, 1.37, -0.39] -> [56.12, -74.13, 111.96, -111.96, 0.00]
[0.29, 0.02, -0.88] -> [3.95, -126.69, 89.04, -89.04, 0.00]
[1.46, 0.17, -0.14] -> [6.64, -84.95, 85.70, -85.70, 0.00]
[0.05, -1.11, -0.41] -> [-87.42, -101.40, 80.72, -80.72, 0.00]
[-0.82, -1.38, 1.35] -> [-120.72, -42.85, 69.71, -69.71, 0.00]
[0.51, -0.73, 0.29] -> [-55.06, -109.94, 37.26, -37.26, 0.00]
[-0.78, -0.35, 1.98] -> [-155.83, -17.51, 47.19, -47.19, 0.00]
[0.34, 0.51, 0.56] -> [56.31, -118.36, 14.62, -14.62, 0.00]
